,tic,time_period_in_months,model,total return,idle return
403,HINDALCO.NS,12,td3,70240.39,99237.59999999999
404,HINDALCO.NS,18,td3,86210.19,121783.2
405,HINDALCO.NS,24,td3,101927.54,143972.4
406,HINDUNILVR.NS,1,td3,366598.19,249718.7
407,HINDUNILVR.NS,3,td3,713008.64,603860.4
408,HINDUNILVR.NS,6,td3,837859.34,709503.3
409,HINDUNILVR.NS,12,td3,858831.59,727249.05
410,HINDUNILVR.NS,18,td3,806883.59,683293.05
411,HINDUNILVR.NS,24,td3,763710.59,646762.05
412,INFY.NS,1,td3,115824.9,125580.0
413,INFY.NS,3,td3,307472.75,375348.0
414,INFY.NS,6,td3,386693.27999999997,475034.89999999997
415,INFY.NS,12,td3,490870.08,602918.6
416,INFY.NS,18,td3,579290.88,711460.7999999999
417,INFY.NS,24,td3,505596.48000000004,620996.2000000001
418,KOTAKBANK.NS,1,td3,196519.61,148866.75
419,KOTAKBANK.NS,3,td3,415211.23,370132.25
420,KOTAKBANK.NS,6,td3,653950.08,582747.7000000001
421,KOTAKBANK.NS,12,td3,570416.98,508355.0
422,KOTAKBANK.NS,18,td3,583774.38,520250.8
423,KOTAKBANK.NS,24,td3,575483.58,512867.2
424,MARUTI.NS,1,td3,832282.9,713953.5
425,MARUTI.NS,3,td3,2220959.88,2245335.75
426,MARUTI.NS,6,td3,2942495.42,2491839.0
427,MARUTI.NS,12,td3,2942495.42,2491839.0
428,MARUTI.NS,18,td3,2942495.42,2491839.0
429,MARUTI.NS,24,td3,2942495.42,2491839.0
430,NTPC.NS,6,td3,4914.33,4721.150000000001
431,NTPC.NS,12,td3,5794.68,5570.4
432,NTPC.NS,18,td3,6219.68,5978.4
433,NTPC.NS,24,td3,8152.179999999999,7833.599999999999
434,ONGC.NS,1,td3,13145.609999999999,8534.699999999999
435,ONGC.NS,3,td3,25768.49,21021.600000000002
436,ONGC.NS,6,td3,62611.15,55060.6
437,ONGC.NS,12,td3,81317.98,71693.7
438,ONGC.NS,18,td3,94508.78,83316.5
439,ONGC.NS,24,td3,118265.68000000001,104249.40000000001
440,RELIANCE.NS,1,td3,322253.43,254253.3
441,RELIANCE.NS,3,td3,764948.4700000001,792502.65
442,RELIANCE.NS,6,td3,682511.72,707164.9
443,RELIANCE.NS,12,td3,717003.87,742870.85
444,RELIANCE.NS,18,td3,805936.67,834933.25
445,RELIANCE.NS,24,td3,866839.27,897979.0499999999
446,SBIN.NS,1,td3,30228.18,21633.85
447,SBIN.NS,3,td3,63414.270000000004,57920.65
448,SBIN.NS,6,td3,94335.71999999999,86137.59999999999
449,SBIN.NS,12,td3,147020.52,134214.4
450,SBIN.NS,18,td3,158339.52,144543.4
451,SBIN.NS,24,td3,174700.62,159473.5
452,SUNPHARMA.NS,1,td3,81296.39,60613.8
453,SUNPHARMA.NS,3,td3,170928.49,162474.15
454,SUNPHARMA.NS,6,td3,198238.89,188410.95
455,SUNPHARMA.NS,12,td3,227070.29,215792.25
456,SUNPHARMA.NS,18,td3,267697.89,254376.45
457,SUNPHARMA.NS,24,td3,313344.79,297727.5
458,TCS.NS,1,td3,305463.62000000005,264642.4
459,TCS.NS,3,td3,783182.95,788822.8
460,TCS.NS,6,td3,922097.95,928619.8
461,TCS.NS,12,td3,1064288.95,1071713.6
462,TCS.NS,18,td3,1153087.45,1161075.9
463,TCS.NS,24,td3,1110672.7,1118391.85
464,TECHM.NS,1,td3,115131.12999999999,84524.59999999999
465,TECHM.NS,3,td3,267885.0,280374.75
466,TECHM.NS,6,td3,330338.55000000005,345691.5
467,TECHM.NS,12,td3,380036.15,397667.5
468,TECHM.NS,18,td3,587446.85,614587.0
469,TECHM.NS,24,td3,469048.60000000003,490760.75
470,ULTRACEMCO.NS,1,td3,575993.25,452903.0
471,ULTRACEMCO.NS,3,td3,1298722.94,1198319.5
472,ULTRACEMCO.NS,6,td3,1644338.94,1516934.25
473,ULTRACEMCO.NS,12,td3,2214210.94,2042285.0
474,ULTRACEMCO.NS,18,td3,2347842.94,2165477.0
475,ULTRACEMCO.NS,24,td3,2123522.94,1958682.0
476,UPL.NS,1,td3,79801.61,52596.5
477,UPL.NS,3,td3,173429.36000000002,156312.7
478,UPL.NS,6,td3,165796.44,150075.4
479,UPL.NS,12,td3,294536.93999999994,266504.64999999997
480,UPL.NS,18,td3,276090.54,249822.25
481,UPL.NS,24,td3,294536.93999999994,266504.64999999997
482,WIPRO.NS,1,td3,206230.27,35399.7
483,WIPRO.NS,3,td3,303067.95999999996,123042.5
484,WIPRO.NS,6,td3,439410.79000000004,331974.3
485,WIPRO.NS,12,td3,3823671.2900000005,479610.0
486,WIPRO.NS,18,td3,5036123.58,608425.7999999999
487,WIPRO.NS,24,td3,4693410.76,471813.60000000003
488,AXISBANK.NS,1,ppo,53044.64,47913.149999999994
489,AXISBANK.NS,3,ppo,84435.16,79820.95
490,AXISBANK.NS,6,ppo,122213.56,115500.55
491,AXISBANK.NS,12,ppo,150666.16,142372.45
492,AXISBANK.NS,18,ppo,134321.25999999998,126935.59999999999
493,AXISBANK.NS,24,ppo,158091.16,149384.95
494,BAJAJ-AUTO.NS,1,ppo,414357.72,342564.3
495,BAJAJ-AUTO.NS,3,ppo,616615.66,562115.0
496,BAJAJ-AUTO.NS,6,ppo,726779.26,662451.7999999999
497,BAJAJ-AUTO.NS,12,ppo,893228.11,814053.1
498,BAJAJ-AUTO.NS,18,ppo,675531.46,615775.4
499,BAJAJ-AUTO.NS,24,ppo,790657.96,720632.4
500,BAJAJFINSV.NS,1,ppo,787452.1699999999,701266.7
501,BAJAJFINSV.NS,3,ppo,1185923.5,1110696.3
502,BAJAJFINSV.NS,6,ppo,1815830.2,1700064.45
503,BAJAJFINSV.NS,12,ppo,2521123.3000000003,2359967.4
504,BAJAJFINSV.NS,18,ppo,3265149.9,3056111.1
505,BAJAJFINSV.NS,24,ppo,3195934.6,2991350.25
506,BAJFINANCE.NS,1,ppo,415811.33,390156.0
507,BAJFINANCE.NS,3,ppo,678100.2,688602.75
508,BAJFINANCE.NS,6,ppo,1071426.3,1087656.9000000001
509,BAJFINANCE.NS,12,ppo,1250996.5,1269842.2
510,BAJFINANCE.NS,18,ppo,1424438.2,1445809.75
511,BAJFINANCE.NS,24,ppo,1495240.4,1517643.05
512,BHARTIARTL.NS,1,ppo,73732.69,61588.350000000006
513,BHARTIARTL.NS,3,ppo,92677.19,81892.8
514,BHARTIARTL.NS,6,ppo,110995.19,98060.8
515,BHARTIARTL.NS,12,ppo,113870.69,100598.8
516,BHARTIARTL.NS,18,ppo,144468.14,127605.0
517,BHARTIARTL.NS,24,ppo,155277.89,137146.0
518,DRREDDY.NS,1,ppo,659627.2100000001,515399.7
519,DRREDDY.NS,3,ppo,1529185.5799999998,1504923.2
520,DRREDDY.NS,6,ppo,1736072.73,1763410.2
521,DRREDDY.NS,12,ppo,1771977.73,1799852.7
522,DRREDDY.NS,18,ppo,1566734.73,1591537.2
523,DRREDDY.NS,24,ppo,1429844.83,1452598.05
524,EICHERMOT.NS,1,ppo,336193.54,243536.65999999997
525,EICHERMOT.NS,3,ppo,533846.92,463883.5
526,EICHERMOT.NS,6,ppo,595289.47,517234.85
527,EICHERMOT.NS,12,ppo,660765.8200000001,574088.8
528,EICHERMOT.NS,18,ppo,602312.17,523332.75
529,EICHERMOT.NS,24,ppo,609784.42,529821.0
530,HDFC.NS,1,ppo,265306.93,197796.45
531,HDFC.NS,3,ppo,391952.47,323775.89999999997
532,HDFC.NS,6,ppo,566759.6199999999,468049.05
533,HDFC.NS,12,ppo,574259.3699999999,474238.8
534,HDFC.NS,18,ppo,588445.9199999999,485947.35000000003
535,HDFC.NS,24,ppo,517994.07,427801.5
536,HEROMOTOCO.NS,1,ppo,320879.91,313150.5
537,HEROMOTOCO.NS,3,ppo,-314670.56999999995,615940.2999999999
538,HEROMOTOCO.NS,6,ppo,214511.30999999994,642295.2000000001
539,HEROMOTOCO.NS,12,ppo,214511.30999999994,642295.2000000001
540,HEROMOTOCO.NS,18,ppo,214511.30999999994,642295.2000000001
541,HEROMOTOCO.NS,24,ppo,214511.30999999994,642295.2000000001
542,HINDUNILVR.NS,3,ppo,189006.36000000002,75228.40000000001
543,HINDUNILVR.NS,6,ppo,222086.46000000002,88389.3
544,HINDUNILVR.NS,12,ppo,227643.21000000002,90600.05
545,HINDUNILVR.NS,18,ppo,213879.21000000002,85124.05
546,HINDUNILVR.NS,24,ppo,202440.21000000002,80573.05
547,ICICIBANK.NS,1,ppo,48165.420000000006,37801.200000000004
548,ICICIBANK.NS,3,ppo,81335.23000000001,70695.90000000001
549,ICICIBANK.NS,6,ppo,120069.74,104540.1
550,ICICIBANK.NS,12,ppo,149845.64,130449.0
551,ICICIBANK.NS,18,ppo,168856.94,146991.3
552,ICICIBANK.NS,24,ppo,174978.44,152317.8
553,INDUSINDBK.NS,1,ppo,69077.62,60755.0
554,INDUSINDBK.NS,3,ppo,116265.07,109931.25
555,INDUSINDBK.NS,6,ppo,190625.98,181192.55000000002
556,INDUSINDBK.NS,12,ppo,222734.98,211696.1
557,INDUSINDBK.NS,18,ppo,191538.98,182059.9
558,INDUSINDBK.NS,24,ppo,214935.98,204287.05000000002
559,INFY.NS,1,ppo,115824.9,125580.0
560,INFY.NS,3,ppo,196588.3,230052.0
561,INFY.NS,6,ppo,241691.8,282788.39999999997
562,INFY.NS,12,ppo,306802.3,358917.60000000003
563,INFY.NS,18,ppo,362065.3,423532.8
564,INFY.NS,24,ppo,316006.3,369679.2
565,IOC.NS,1,ppo,13257.74,10083.300000000001
566,IOC.NS,3,ppo,17348.309999999998,14745.449999999999
567,IOC.NS,6,ppo,21349.13,18156.600000000002
568,IOC.NS,12,ppo,25939.23,22057.2
569,IOC.NS,18,ppo,26113.98,22205.7
570,IOC.NS,24,ppo,29830.329999999998,25363.8
571,JSWSTEEL.NS,3,ppo,277.03000000000003,284.1
572,JSWSTEEL.NS,6,ppo,379.53000000000003,386.6
573,JSWSTEEL.NS,12,ppo,682.43,689.5
574,JSWSTEEL.NS,18,ppo,643.18,650.25
575,JSWSTEEL.NS,24,ppo,760.78,767.85
576,KOTAKBANK.NS,1,ppo,196519.59,148866.75
577,KOTAKBANK.NS,3,ppo,318044.79,274125.25
578,KOTAKBANK.NS,6,ppo,516809.21,445513.60000000003
579,KOTAKBANK.NS,12,ppo,450795.21,388640.0
580,KOTAKBANK.NS,18,ppo,461351.21,397734.39999999997
581,KOTAKBANK.NS,24,ppo,454799.21,392089.60000000003
582,LT.NS,1,ppo,150617.55,100479.5
583,LT.NS,3,ppo,225467.97000000003,179090.0
584,LT.NS,6,ppo,328608.88,261748.2
585,LT.NS,12,ppo,388393.63,309341.55
586,LT.NS,18,ppo,478816.63,381325.35000000003
587,LT.NS,24,ppo,443091.13,352885.05
588,LUPIN.NS,1,ppo,124988.41,98214.29999999999
589,LUPIN.NS,3,ppo,214429.83,190646.65
590,LUPIN.NS,6,ppo,211333.83,187896.25
591,LUPIN.NS,12,ppo,247582.82999999996,220098.84999999998
592,LUPIN.NS,18,ppo,196004.33,174277.95
593,LUPIN.NS,24,ppo,165409.83,147098.65
594,NTPC.NS,1,ppo,12692.13,9135.0
595,NTPC.NS,3,ppo,21863.420000000002,18222.100000000002
596,NTPC.NS,6,ppo,28204.34,23706.2
597,NTPC.NS,12,ppo,32587.94,27387.8
598,NTPC.NS,18,ppo,34976.439999999995,29393.8
599,NTPC.NS,24,ppo,45837.09,38515.2
600,SHREECEM.NS,1,ppo,2885149.8800000004,2323093.0500000003
601,SHREECEM.NS,3,ppo,4121539.1100000003,3550402.35
602,SHREECEM.NS,6,ppo,4928766.31,4245083.45
603,SHREECEM.NS,12,ppo,5971584.71,5142508.899999999
604,SHREECEM.NS,18,ppo,5473143.91,4713562.25
605,SHREECEM.NS,24,ppo,5286484.71,4552927.649999999
606,SUNPHARMA.NS,1,ppo,81296.39,60613.8
607,SUNPHARMA.NS,3,ppo,1071.6100000000006,91613.15
608,SUNPHARMA.NS,6,ppo,-108472.74999999994,87540.65
609,SUNPHARMA.NS,12,ppo,-108472.74999999994,87540.65
610,SUNPHARMA.NS,18,ppo,-108472.74999999994,87540.65
611,SUNPHARMA.NS,24,ppo,-108472.74999999994,87540.65
612,TATAMOTORS.NS,1,ppo,17674.260000000002,12034.75
613,TATAMOTORS.NS,3,ppo,32771.979999999996,27788.699999999997
614,TATAMOTORS.NS,6,ppo,46379.83,39319.85
615,TATAMOTORS.NS,12,ppo,84551.52999999998,71666.15
616,TATAMOTORS.NS,18,ppo,117593.83,99665.85
617,TATAMOTORS.NS,24,ppo,107994.87999999999,91531.8
618,TATASTEEL.NS,1,ppo,55273.16,43223.4
619,TATASTEEL.NS,3,ppo,85040.79,80670.90000000001
620,TATASTEEL.NS,6,ppo,145438.79,137917.69999999998
621,TATASTEEL.NS,12,ppo,267936.79,254024.5
622,TATASTEEL.NS,18,ppo,259288.79000000004,245827.7
623,TATASTEEL.NS,24,ppo,307922.29,291923.8
624,TECHM.NS,1,ppo,115131.12999999999,84524.59999999999
625,TECHM.NS,3,ppo,187309.09,168224.85
626,TECHM.NS,6,ppo,230972.88999999998,207414.9
627,TECHM.NS,12,ppo,265718.49,238600.5
628,TECHM.NS,18,ppo,410727.69,368752.2
629,TECHM.NS,24,ppo,327950.69,294456.45
630,TITAN.NS,1,ppo,158462.99,122060.25
631,TITAN.NS,3,ppo,264783.16,238129.19999999998
632,TITAN.NS,6,ppo,350191.91,314884.2
633,TITAN.NS,12,ppo,397930.00999999995,357785.39999999997
634,TITAN.NS,18,ppo,528693.3600000001,475299.60000000003
635,TITAN.NS,24,ppo,565819.21,508663.8
636,ULTRACEMCO.NS,1,ppo,575993.25,452903.0
637,ULTRACEMCO.NS,3,ppo,899643.98,787306.4
638,ULTRACEMCO.NS,6,ppo,899643.98,787306.4
639,ULTRACEMCO.NS,12,ppo,899643.98,787306.4
640,ULTRACEMCO.NS,18,ppo,899643.98,787306.4
641,ULTRACEMCO.NS,24,ppo,899643.98,787306.4
642,WIPRO.NS,1,ppo,160882.77000000002,35399.7
643,WIPRO.NS,3,ppo,479393.43000000005,123042.5
644,WIPRO.NS,6,ppo,3135848.0300000003,193747.4
645,WIPRO.NS,12,ppo,6299422.84,277035.0
646,WIPRO.NS,18,ppo,6854032.009999999,351442.3
647,WIPRO.NS,24,ppo,6250859.8100000005,272531.60000000003
648,ASIANPAINT.NS,1,ddpg,212533.18,190420.5
649,ASIANPAINT.NS,3,ddpg,468025.38,466468.10000000003
650,ASIANPAINT.NS,6,ddpg,641049.4299999999,638768.2000000001
651,ASIANPAINT.NS,12,ddpg,717529.4299999999,714928.2000000001
652,ASIANPAINT.NS,18,ddpg,780625.4299999999,777760.2000000001
653,ASIANPAINT.NS,24,ddpg,721747.78,719128.9
654,AXISBANK.NS,1,ddpg,53044.64,47913.149999999994
655,AXISBANK.NS,3,ddpg,101916.48000000001,99029.20000000001
656,AXISBANK.NS,6,ddpg,147517.68,143294.8
657,AXISBANK.NS,12,ddpg,181861.97999999998,176633.2
658,AXISBANK.NS,18,ddpg,162132.52999999997,157481.59999999998
659,AXISBANK.NS,24,ddpg,190824.47999999998,185333.2
660,BAJAJ-AUTO.NS,1,ddpg,414357.72,342564.3
661,BAJAJ-AUTO.NS,3,ddpg,732395.69,683810.0
662,BAJAJ-AUTO.NS,6,ddpg,863247.2899999999,805869.2
663,BAJAJ-AUTO.NS,12,ddpg,1060954.14,990291.3999999999
664,BAJAJ-AUTO.NS,18,ddpg,802375.4899999999,749087.6
665,BAJAJ-AUTO.NS,24,ddpg,939121.9899999999,876645.6
666,BAJAJFINSV.NS,1,ddpg,787452.1699999999,701266.7
667,BAJAJFINSV.NS,3,ddpg,1420734.21,1357517.7
668,BAJAJFINSV.NS,6,ddpg,2175374.9099999997,2077856.5499999998
669,BAJAJFINSV.NS,12,ddpg,3020330.0100000002,2884404.6
670,BAJAJFINSV.NS,18,ddpg,3911688.61,3735246.9
671,BAJAJFINSV.NS,24,ddpg,3828767.31,3656094.75
672,BAJFINANCE.NS,1,ddpg,415811.34,390156.0
673,BAJFINANCE.NS,3,ddpg,799872.03,836866.5
674,BAJFINANCE.NS,6,ddpg,1263844.08,1321841.4000000001
675,BAJFINANCE.NS,12,ddpg,1475667.1800000002,1543253.2
676,BAJFINANCE.NS,18,ddpg,1680261.03,1757108.5
677,BAJFINANCE.NS,24,ddpg,1763780.13,1844408.3
678,BHARTIARTL.NS,1,ddpg,73732.69,61588.350000000006
679,BHARTIARTL.NS,3,ddpg,107904.75,96267.6
680,BHARTIARTL.NS,6,ddpg,129232.75,115273.6
681,BHARTIARTL.NS,12,ddpg,132580.75000000003,118257.1
682,BHARTIARTL.NS,18,ddpg,168205.95,150003.75
683,BHARTIARTL.NS,24,ddpg,180791.95,161219.5
684,EICHERMOT.NS,1,ddpg,336193.54,243536.65999999997
685,EICHERMOT.NS,3,ddpg,610717.87,554022.0
686,EICHERMOT.NS,6,ddpg,681010.1699999999,617740.2
687,EICHERMOT.NS,12,ddpg,755917.27,685641.6000000001
688,EICHERMOT.NS,18,ddpg,689044.37,625023.0
689,EICHERMOT.NS,24,ddpg,697592.87,632772.0
690,GRASIM.NS,1,ddpg,98689.22999999998,68369.4
691,GRASIM.NS,3,ddpg,195371.15000000002,166654.95
692,GRASIM.NS,6,ddpg,245560.35,209436.15
693,GRASIM.NS,12,ddpg,408214.55,348082.35
694,GRASIM.NS,18,ddpg,449609.8,383367.6
695,GRASIM.NS,24,ddpg,471750.5,402240.3
696,HDFCBANK.NS,1,ddpg,125881.42,113608.0
697,HDFCBANK.NS,3,ddpg,251580.72999999998,238011.19999999998
698,HDFCBANK.NS,6,ddpg,334601.82999999996,316478.39999999997
699,HDFCBANK.NS,12,ddpg,358835.07999999996,339382.39999999997
700,HDFCBANK.NS,18,ddpg,342008.07999999996,323478.39999999997
701,HDFCBANK.NS,24,ddpg,330478.03,312580.8
702,HINDALCO.NS,1,ddpg,27056.98,19408.899999999998
703,HINDALCO.NS,3,ddpg,49529.380000000005,46569.6
704,HINDALCO.NS,6,ddpg,67372.88,63333.6
705,HINDALCO.NS,12,ddpg,105588.87999999999,99237.59999999999
706,HINDALCO.NS,18,ddpg,129586.28,121783.2
707,HINDALCO.NS,24,ddpg,153204.33000000002,143972.4
708,ICICIBANK.NS,1,ddpg,48165.43000000001,37801.200000000004
709,ICICIBANK.NS,3,ddpg,90608.08,81050.35
710,ICICIBANK.NS,6,ddpg,132022.78,118062.70000000001
711,ICICIBANK.NS,12,ddpg,164763.38,147323.0
712,ICICIBANK.NS,18,ddpg,185667.58,166005.09999999998
713,ICICIBANK.NS,24,ddpg,192398.58,172020.59999999998
714,INDUSINDBK.NS,1,ddpg,69077.62,60755.0
715,INDUSINDBK.NS,3,ddpg,132334.08,130308.75
716,INDUSINDBK.NS,6,ddpg,214016.98,210668.85
717,INDUSINDBK.NS,12,ddpg,250066.62999999998,246134.69999999998
718,INDUSINDBK.NS,18,ddpg,215042.03,211677.30000000002
719,INDUSINDBK.NS,24,ddpg,241310.48,237520.35
720,IOC.NS,1,ddpg,13257.74,10083.300000000001
721,IOC.NS,3,ddpg,19890.239999999998,17365.199999999997
722,IOC.NS,6,ddpg,24372.34,21274.4
723,IOC.NS,12,ddpg,29612.54,25844.800000000003
724,IOC.NS,18,ddpg,29812.04,26018.800000000003
725,IOC.NS,24,ddpg,34054.74,29719.199999999997
726,JSWSTEEL.NS,3,ddpg,59407.090000000004,1988.7000000000003
727,JSWSTEEL.NS,6,ddpg,59919.590000000004,2706.2000000000003
728,JSWSTEEL.NS,12,ddpg,61434.090000000004,4826.5
729,JSWSTEEL.NS,18,ddpg,61237.840000000004,4551.75
730,JSWSTEEL.NS,24,ddpg,61825.840000000004,5374.95
731,KOTAKBANK.NS,1,ddpg,196519.6,148866.75
732,KOTAKBANK.NS,3,ddpg,326876.09,284231.25
733,KOTAKBANK.NS,6,ddpg,514819.44000000006,447502.5
734,KOTAKBANK.NS,12,ddpg,449059.34,390375.0
735,KOTAKBANK.NS,18,ddpg,459574.74,399510.0
736,KOTAKBANK.NS,24,ddpg,453047.94000000006,393840.0
737,LUPIN.NS,1,ddpg,124988.41,98214.29999999999
738,LUPIN.NS,3,ddpg,249331.33,227578.19999999998
739,LUPIN.NS,6,ddpg,245731.33,224295.0
740,LUPIN.NS,12,ddpg,287881.33,262735.8
741,LUPIN.NS,18,ddpg,227906.33,208038.6
742,LUPIN.NS,24,ddpg,192331.33,175594.19999999998
743,M&M.NS,1,ddpg,80594.69,76412.70000000001
744,M&M.NS,3,ddpg,152551.98,165564.0
745,M&M.NS,6,ddpg,176891.73,191956.5
746,M&M.NS,12,ddpg,197633.43,214447.5
747,M&M.NS,18,ddpg,205750.83,223249.5
748,M&M.NS,24,ddpg,217516.08,236007.0
749,NESTLEIND.NS,1,ddpg,2278196.3200000003,1833964.2000000002
750,NESTLEIND.NS,3,ddpg,3870297.8000000003,3405345.3000000003
751,NESTLEIND.NS,6,ddpg,4608469.8,4054222.3
752,NESTLEIND.NS,12,ddpg,4337988.600000001,3816460.6
753,NESTLEIND.NS,18,ddpg,4760047.399999999,4187463.9
754,NESTLEIND.NS,24,ddpg,4599579.0,4046407.0
755,ONGC.NS,1,ddpg,13145.609999999999,8534.699999999999
756,ONGC.NS,3,ddpg,19551.530000000002,15420.45
757,ONGC.NS,6,ddpg,26527.48,20917.399999999998
758,ONGC.NS,12,ddpg,34196.780000000006,26960.7
759,ONGC.NS,18,ddpg,39743.58,31331.5
760,ONGC.NS,24,ddpg,49733.48,39203.4
761,RELIANCE.NS,1,ddpg,322253.43,254253.3
762,RELIANCE.NS,3,ddpg,607951.66,590448.15
763,RELIANCE.NS,6,ddpg,542437.4099999999,526867.9
764,RELIANCE.NS,12,ddpg,569849.0599999999,553470.35
765,RELIANCE.NS,18,ddpg,640525.86,622060.75
766,RELIANCE.NS,24,ddpg,688926.46,669032.5499999999
767,SBIN.NS,1,ddpg,30228.18,21633.85
768,SBIN.NS,3,ddpg,50474.560000000005,44041.9
769,SBIN.NS,6,ddpg,75085.51,65497.6
770,SBIN.NS,12,ddpg,117018.31000000001,102054.40000000001
771,SBIN.NS,18,ddpg,126027.31000000001,109908.40000000001
772,SBIN.NS,24,ddpg,139049.41,121261.0
773,TATACONSUM.NS,1,ddpg,54316.67,50509.9
774,TATACONSUM.NS,3,ddpg,121680.5,138393.75
775,TATACONSUM.NS,6,ddpg,145686.90000000002,165673.75
776,TATACONSUM.NS,12,ddpg,183233.2,208340.0
777,TATACONSUM.NS,18,ddpg,175767.5,199856.25
778,TATACONSUM.NS,24,ddpg,198890.59999999998,226132.5
779,TCS.NS,1,ddpg,305463.62000000005,264642.4
780,TCS.NS,3,ddpg,619107.7999999999,599704.4
781,TCS.NS,6,ddpg,728916.7999999999,705985.4
782,TCS.NS,12,ddpg,841315.4,814772.8
783,TCS.NS,18,ddpg,911508.4999999999,882710.7
784,TCS.NS,24,ddpg,877980.65,850260.05
785,TITAN.NS,1,ddpg,158462.99,122060.25
786,TITAN.NS,3,ddpg,311430.11,294159.6
787,TITAN.NS,6,ddpg,411888.86,388974.6
788,TITAN.NS,12,ddpg,468038.95999999996,441970.19999999995
789,TITAN.NS,18,ddpg,621844.31,587134.8
790,TITAN.NS,24,ddpg,665512.1599999999,628349.3999999999
791,ULTRACEMCO.NS,1,ddpg,575993.25,452903.0
792,ULTRACEMCO.NS,3,ddpg,1034940.93,930220.9
793,ULTRACEMCO.NS,6,ddpg,1310353.68,1177552.3499999999
794,ULTRACEMCO.NS,12,ddpg,1764470.43,1585367.0
795,ULTRACEMCO.NS,18,ddpg,1870958.43,1680997.4000000001
796,ULTRACEMCO.NS,24,ddpg,1692203.43,1520468.4000000001
797,WIPRO.NS,1,ddpg,34594.34999999999,35399.7
798,WIPRO.NS,3,ddpg,-99506.12999999986,86285.5
799,WIPRO.NS,6,ddpg,3296807.5100000002,106063.29999999999
800,WIPRO.NS,12,ddpg,5585220.75,151657.5
801,WIPRO.NS,18,ddpg,7329892.850000001,192390.34999999998
802,WIPRO.NS,24,ddpg,7189256.8500000015,149192.2
