,date,account_value
0,2020-07-01,12542187.46118164
1,2020-07-02,12559021.129012987
2,2020-07-06,12597005.64789616
3,2020-07-07,12614984.766387524
4,2020-07-08,12580903.159023399
5,2020-07-09,12603716.720511196
6,2020-07-10,12597632.552822515
7,2020-07-13,12606770.65437973
8,2020-07-14,12562056.055900913
9,2020-07-15,12553707.302176407
10,2020-07-16,12617928.870322185
11,2020-07-17,12638451.630978426
12,2020-07-20,12683763.083838914
13,2020-07-21,12676005.890301773
14,2020-07-22,12653605.213747054
15,2020-07-23,12701444.27298858
16,2020-07-24,12668956.915302921
17,2020-07-27,12665958.807948716
18,2020-07-28,12746677.854442704
19,2020-07-29,12684221.759755436
20,2020-07-30,12628754.771693647
21,2020-07-31,12614943.214841612
22,2020-08-03,12544562.406737134
23,2020-08-04,12608622.038928948
24,2020-08-05,12647018.953303298
25,2020-08-06,12705921.984669149
26,2020-08-07,12771167.236789586
27,2020-08-10,12736733.269457813
28,2020-08-11,12742495.299704432
29,2020-08-12,12716609.30444961
30,2020-08-13,12710272.53126014
31,2020-08-14,12602468.07317054
32,2020-08-17,12691750.054729264
33,2020-08-18,12811152.526078524
34,2020-08-19,12758268.781022027
35,2020-08-20,12683190.362876657
36,2020-08-21,12795383.874677537
37,2020-08-24,12841097.274364695
38,2020-08-25,12867852.84686229
39,2020-08-26,12889586.766622804
40,2020-08-27,12853902.131066546
41,2020-08-28,12890543.518031457
42,2020-08-31,12558373.373642305
43,2020-09-01,12755469.362341188
44,2020-09-02,12733083.7240504
45,2020-09-03,12872500.493851654
46,2020-09-04,12716366.591812905
47,2020-09-08,12605264.131676491
48,2020-09-09,12598558.666558083
49,2020-09-10,12768892.805863198
50,2020-09-11,12763426.083596047
51,2020-09-14,12693935.897583779
52,2020-09-15,12725474.673378762
53,2020-09-16,12839633.194374856
54,2020-09-17,12734550.059296425
55,2020-09-18,12726953.180062111
56,2020-09-21,12318662.888825234
57,2020-09-22,12213359.832466897
58,2020-09-23,12208718.022171792
59,2020-09-24,11897468.23350602
60,2020-09-25,12267784.907227334
61,2020-09-28,12459247.210266884
62,2020-09-29,12433704.93562394
63,2020-09-30,12509605.333260354
64,2020-10-01,12728191.472611245
65,2020-10-05,12711393.532463845
66,2020-10-06,12790750.658188637
67,2020-10-07,12888448.143257912
68,2020-10-08,12981663.793923195
69,2020-10-09,12905114.320488747
70,2020-10-12,12864519.865845498
71,2020-10-13,12816263.246094521
72,2020-10-14,12935088.239968117
73,2020-10-15,12711319.767433938
74,2020-10-16,12750626.708489235
75,2020-10-19,12914969.857048806
76,2020-10-20,12977287.43437272
77,2020-10-21,12922152.738854226
78,2020-10-22,12872622.877594765
79,2020-10-23,12865832.853401955
80,2020-10-26,12793160.798683938
81,2020-10-27,13176076.324799355
82,2020-10-28,13054125.960053261
83,2020-10-29,13011871.371079262
84,2020-10-30,13025854.196884926
85,2020-11-02,13018759.166710671
86,2020-11-03,13066449.436806496
87,2020-11-04,13172199.02924424
88,2020-11-05,13450475.415741738
89,2020-11-06,13503597.949837502
90,2020-11-09,13706849.82146531
91,2020-11-10,13758376.540108498
92,2020-11-11,13928622.92315751
93,2020-11-12,13936827.436333474
94,2020-11-13,14119357.495896157
95,2020-11-17,14264477.955391701
96,2020-11-18,14432537.828621682
97,2020-11-19,14330081.62437516
98,2020-11-20,14757755.13093644
99,2020-11-23,14966251.536217507
100,2020-11-24,15028401.773514565
101,2020-11-25,14803547.31441575
102,2020-11-27,15022803.86921006
103,2020-12-01,14977890.112877663
104,2020-12-02,15007538.177796181
105,2020-12-03,15154550.83129197
106,2020-12-04,15336620.43045121
107,2020-12-07,15280893.896889504
108,2020-12-08,15286901.76136094
109,2020-12-09,15354982.389199074
110,2020-12-10,15452608.26904374
111,2020-12-11,15488400.578331765
112,2020-12-14,15537530.232415017
113,2020-12-15,15605781.89025193
114,2020-12-16,15687307.209854897
115,2020-12-17,15747577.752480324
116,2020-12-18,15756064.292900857
117,2020-12-21,15338465.269821938
118,2020-12-22,15515059.463295754
119,2020-12-23,15667640.085213479
120,2020-12-24,15704076.018189248
121,2020-12-28,15812596.95502549
122,2020-12-29,15750220.988480385
123,2020-12-30,15899373.433022317
124,2020-12-31,15852402.582482155
125,2021-01-04,15964420.48703843
126,2021-01-05,16008810.873925027
127,2021-01-06,15961460.098137673
128,2021-01-07,15915082.890854653
129,2021-01-08,16175215.652314004
130,2021-01-11,16187565.454750832
131,2021-01-12,16113347.912239846
132,2021-01-13,16047468.8021782
133,2021-01-14,16064333.459847268
134,2021-01-15,15873258.941239174
135,2021-01-19,16017136.959091958
136,2021-01-20,16075571.523407754
137,2021-01-21,16137920.505348977
138,2021-01-22,16092699.001503762
139,2021-01-25,15966021.330490883
140,2021-01-27,15836607.006554421
141,2021-01-28,15719207.771256264
142,2021-01-29,15424231.047417458
143,2021-02-01,16119930.061432656
144,2021-02-02,16364584.246552285
145,2021-02-03,16436917.164139565
146,2021-02-04,16568062.130646523
147,2021-02-05,16634441.972626504
148,2021-02-08,16821243.3234871
149,2021-02-09,16797093.091027077
150,2021-02-10,16843695.78896409
151,2021-02-11,16930721.9213646
152,2021-02-12,16871627.648873147
153,2021-02-16,16981064.136452492
154,2021-02-17,16721640.446923073
155,2021-02-18,16525497.25354844
156,2021-02-19,16402744.927979287
157,2021-02-22,16102782.975395974
158,2021-02-23,16150167.302452859
159,2021-02-24,16399870.111084756
160,2021-02-25,16411223.41320115
161,2021-02-26,15868641.213677224
162,2021-03-01,16127803.669441994
163,2021-03-02,16366924.9823845
164,2021-03-03,16681719.754494485
165,2021-03-04,16628211.132729348
166,2021-03-05,16553616.671028908
167,2021-03-08,16457880.289742287
168,2021-03-09,16587750.187096413
169,2021-03-10,16717494.232361611
170,2021-03-12,16533118.31894761
171,2021-03-15,16418474.351532754
172,2021-03-16,16421371.732468423
173,2021-03-17,16169391.788666543
174,2021-03-18,16058503.249703225
175,2021-03-19,16225626.894219216
176,2021-03-22,16257756.07838517
177,2021-03-23,16374002.392563637
178,2021-03-24,16120379.851509865
179,2021-03-25,15795444.092293557
180,2021-03-26,16116533.974091347
181,2021-03-30,16425505.36165696
182,2021-03-31,16410998.172425088
183,2021-04-01,16569760.226548012
184,2021-04-05,16209968.933998879
185,2021-04-06,16286599.439842995
186,2021-04-07,16464849.366043862
187,2021-04-08,16635142.670899209
188,2021-04-09,16516692.739510354
189,2021-04-12,15962139.966194924
190,2021-04-13,16178353.010628518
191,2021-04-15,16073685.45793229
192,2021-04-16,16269324.891503152
193,2021-04-19,15904978.625206765
194,2021-04-20,15952836.079224404
195,2021-04-22,15885186.574204262
196,2021-04-23,15821070.54322892
197,2021-04-26,16056260.567787942
198,2021-04-27,16179200.454460915
199,2021-04-28,16473703.905091103
200,2021-04-29,16640940.772148903
201,2021-04-30,16436000.07751542
202,2021-05-03,16504938.970040139
203,2021-05-04,16452109.880249795
204,2021-05-05,16571613.349091347
205,2021-05-06,16674783.670937356
206,2021-05-07,16757400.702462014
207,2021-05-10,16799399.155091103
208,2021-05-11,16763986.386048134
209,2021-05-12,16599114.927094277
210,2021-05-14,16668640.541848
211,2021-05-17,16868410.12111741
212,2021-05-18,17180680.57513505
213,2021-05-19,17153351.33683854
214,2021-05-20,17056455.53064805
215,2021-05-21,17243432.785607155
216,2021-05-24,17158240.417427834
217,2021-05-25,17305468.14141923
218,2021-05-26,17518329.175476845
219,2021-05-27,17620179.25125199
220,2021-05-28,17526347.25932389
221,2021-06-01,17699500.645218667
222,2021-06-02,17697629.575905617
223,2021-06-03,17841817.21032029
224,2021-06-04,17841206.960167702
225,2021-06-07,17810629.03065568
226,2021-06-08,17772995.182564553
227,2021-06-09,17660977.292031106
228,2021-06-10,17878429.333016213
229,2021-06-11,17877152.036766823
230,2021-06-14,17902473.307442483
231,2021-06-15,17918981.8698433
232,2021-06-16,17911323.013085183
233,2021-06-17,17909862.131272133
234,2021-06-18,17893184.14620286
235,2021-06-21,17978362.435723122
236,2021-06-22,17925566.790886696
237,2021-06-23,17939436.852555092
238,2021-06-24,18060414.269127663
239,2021-06-25,18060847.83468705
240,2021-06-28,17992212.14744645
241,2021-06-29,17941318.549073037
242,2021-06-30,17869005.894005593
243,2021-07-01,17793913.60562211
244,2021-07-02,17776681.044319924
245,2021-07-06,17967437.703713235
246,2021-07-07,18103041.518570717
247,2021-07-08,17976294.006020363
248,2021-07-09,18061087.637711342
249,2021-07-12,18132014.94242173
250,2021-07-13,18195143.853623208
251,2021-07-14,18172913.122551735
252,2021-07-15,18185573.10383683
253,2021-07-16,18174007.202233132
254,2021-07-19,18086570.85723954
255,2021-07-20,18093496.561539467
256,2021-07-22,18332579.718346413
257,2021-07-23,18400809.718331154
258,2021-07-26,18481106.916436013
259,2021-07-27,18536524.955735024
260,2021-07-28,18519218.056519326
261,2021-07-29,18686907.669838723
262,2021-07-30,18472037.798699196
263,2021-08-02,18545883.597260293
264,2021-08-03,18915803.232910927
265,2021-08-04,18824534.18246537
266,2021-08-05,18787822.60727006
267,2021-08-06,18712355.016480263
268,2021-08-09,18801543.400063332
269,2021-08-10,18752994.265808877
270,2021-08-11,18720492.309426125
271,2021-08-12,18733248.32148057
272,2021-08-13,18811140.454239663
273,2021-08-16,18865854.90978318
274,2021-08-17,19097654.138916787
275,2021-08-18,19303147.665383156
276,2021-08-20,19410648.245644387
277,2021-08-23,19548166.354271706
278,2021-08-24,19898496.543297585
279,2021-08-25,19764313.36404496
280,2021-08-26,19794907.11809617
281,2021-08-27,19929505.029282387
282,2021-08-30,20137867.902924355
283,2021-08-31,20458387.239708718
284,2021-09-01,20462862.342720803
285,2021-09-02,20649602.881531533
286,2021-09-03,20745092.897904214
287,2021-09-07,20820149.09249192
288,2021-09-08,20623297.943016823
289,2021-09-09,20807972.39027482
290,2021-09-13,20865884.97959214
291,2021-09-14,20805121.261299904
292,2021-09-15,20834546.283379372
293,2021-09-16,20810058.077812966
294,2021-09-17,20853108.200280007
295,2021-09-20,20794864.586739358
296,2021-09-21,21041601.982796486
297,2021-09-22,20996955.83229905
298,2021-09-23,21310238.515068825
299,2021-09-24,21329101.615135964
300,2021-09-27,21208289.477425393
301,2021-09-28,20974644.95566636
302,2021-09-29,20870436.70439988
303,2021-09-30,20881352.218224343
304,2021-10-01,20717837.977486428
305,2021-10-04,20930401.387017068
306,2021-10-05,20990906.59261399
307,2021-10-06,20744836.27007371
308,2021-10-07,20849359.60851365
309,2021-10-08,20877426.975533303
310,2021-10-11,20959908.243126687
311,2021-10-12,21248029.89771348
312,2021-10-13,21316423.665154275
313,2021-10-14,21416934.518990334
314,2021-10-18,21481752.189232644
315,2021-10-19,21385982.792168435
316,2021-10-20,21151480.530602273
317,2021-10-21,21069983.18346482
318,2021-10-22,21013120.705574807
319,2021-10-25,20722051.51500779
320,2021-10-26,21083569.72164231
321,2021-10-27,20874352.191979226
322,2021-10-28,20728188.902016457
323,2021-10-29,20660370.709877785
324,2021-11-01,20765237.973259743
325,2021-11-02,20691444.525643166
326,2021-11-03,20699346.131737527
327,2021-11-04,20839468.89856797
328,2021-11-08,21217360.072930153
329,2021-11-09,21133545.50454026
330,2021-11-10,21138759.69596177
331,2021-11-11,20912622.918450173
332,2021-11-12,21167056.56618577
333,2021-11-15,21188800.09681016
334,2021-11-16,21122420.906700905
335,2021-11-17,21084914.59941941
336,2021-11-18,20855477.2237938
337,2021-11-22,20275184.878762063
338,2021-11-23,20423091.139183816
339,2021-11-24,20349617.66393357
340,2021-11-26,19908298.78606492
341,2021-11-29,19945498.068657693
342,2021-11-30,20051373.823052224
343,2021-12-01,20200816.21929246
344,2021-12-02,20448395.63962632
345,2021-12-03,20229164.871819314
346,2021-12-06,19809384.3261345
347,2021-12-07,20106547.39594346
348,2021-12-08,20475194.895607766
349,2021-12-09,20463503.50646287
350,2021-12-10,20513309.746926125
351,2021-12-13,20226159.71109849
352,2021-12-14,20191717.708840188
353,2021-12-15,19982604.29602891
354,2021-12-16,20054417.81517869
355,2021-12-17,19691002.747292336
356,2021-12-20,19291331.577843484
357,2021-12-21,19478820.8755272
358,2021-12-22,19642486.3838585
359,2021-12-23,19769639.780159768
360,2021-12-27,19692632.287865456
361,2021-12-28,19856120.501580056
362,2021-12-29,19947712.310540017
363,2021-12-30,19906393.64830857
364,2021-12-31,20213512.006920632
365,2022-01-03,20568872.929512795
366,2022-01-04,20747638.989357766
367,2022-01-05,21149827.795983132
368,2022-01-06,21026861.121407326
369,2022-01-07,21092212.94681626
370,2022-01-10,21149926.346611794
371,2022-01-11,21160151.425316628
372,2022-01-12,21262130.71285325
373,2022-01-13,21304042.784233864
374,2022-01-14,21218657.805916604
375,2022-01-18,21105989.413628396
376,2022-01-19,20838695.714882668
377,2022-01-20,20515015.726097878
378,2022-01-21,20253068.621575173
379,2022-01-24,19664762.067742165
380,2022-01-25,19702375.287346657
381,2022-01-27,19455141.877816018
382,2022-01-28,19438201.919976052
383,2022-01-31,19745141.632866677
384,2022-02-01,19984414.430489358
385,2022-02-02,20266606.03516465
386,2022-02-03,20048419.91156846
387,2022-02-04,20004204.635536965
388,2022-02-07,19617530.359352883
389,2022-02-08,19716177.159478005
390,2022-02-09,19936904.881630715
391,2022-02-10,20018449.701165017
392,2022-02-11,19707503.834343728
393,2022-02-14,19271564.918892678
394,2022-02-15,19968241.4143303
395,2022-02-16,19902983.13169175
396,2022-02-17,19823353.99988633
397,2022-02-18,19724909.24308091
398,2022-02-22,19616031.938439187
399,2022-02-23,19576883.304268654
400,2022-02-24,18758568.928643044
401,2022-02-25,19168606.609719094
402,2022-02-28,19279658.94582444
403,2022-03-02,19127549.101143654
404,2022-03-03,18691448.196617898
405,2022-03-04,18379671.00920945
406,2022-03-07,17802374.59351426
407,2022-03-08,17909510.83580857
408,2022-03-09,18305451.395134743
409,2022-03-10,18682137.98815232
410,2022-03-11,18637380.686531838
411,2022-03-14,18777153.46323472
412,2022-03-15,18754178.640160378
413,2022-03-16,19209013.86530381
414,2022-03-17,19616636.994377907
415,2022-03-21,19276963.410347756
416,2022-03-22,19362222.29299241
417,2022-03-23,19291191.79348069
418,2022-03-24,19301713.707604226
419,2022-03-25,19185042.987496193
420,2022-03-28,19227011.61040574
421,2022-03-29,19339106.547814187
422,2022-03-30,19714874.634117898
423,2022-03-31,19688563.721978005
424,2022-04-01,19899026.406304177
425,2022-04-04,20115608.418953713
426,2022-04-05,20062259.6204918
427,2022-04-06,20032905.01221543
428,2022-04-07,19907146.82384568
429,2022-04-08,20155251.91082078
430,2022-04-11,20084105.790413674
431,2022-04-12,19904099.03478318
432,2022-04-13,19796214.82978135
433,2022-04-18,19667055.569985207
434,2022-04-19,19396838.63646775
