date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-07-01,-5,5,5,5,-5,-5,5,5,-5,-5,-5,-5,-5,5,-5,5,-5,-5,5,-5,-5,-5,5,-5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,-5,-5,-5,5,5,-5,5,5,5,19301.51847831905
2020-07-02,-5,5,5,5,-5,-5,5,5,-5,-5,-5,-5,-5,5,-5,5,-5,-5,5,-5,-5,-5,5,-5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,-5,-5,-5,5,5,-5,5,5,5,35967.81127208844
2020-07-06,-4,5,5,5,-5,-5,5,5,-5,-5,-5,-5,-2,5,-5,5,-5,-5,5,-5,-5,-5,5,-5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,-5,-5,-5,5,5,-5,5,5,5,5023.195249421522
2020-07-07,0,5,5,5,-3,-5,5,5,-5,-5,-5,-5,0,5,-5,5,-5,-5,5,-5,-1,-5,5,-5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,-2,-5,-5,5,5,-5,5,5,5,-24767.949861256406
2020-07-08,0,5,5,5,0,-3,5,5,-5,-5,-5,-5,0,5,-5,5,-5,-2,5,-5,0,-5,5,-5,-5,-3,5,-5,-5,5,-5,5,5,-3,5,0,-5,-5,5,5,-5,5,5,5,12519.454455845058
2020-07-09,0,5,5,5,0,0,5,5,-5,-5,-5,-5,0,5,-5,5,-4,0,5,-5,0,-5,5,-5,0,0,5,-3,-5,5,-5,5,5,0,5,0,-5,-5,5,5,-5,5,5,5,-3432.284139301628
2020-07-10,0,5,5,5,0,0,5,5,-5,-5,-4,-5,0,5,-5,5,0,0,5,-5,0,-5,5,-5,0,0,5,0,-5,5,-5,5,5,0,5,0,-5,-5,5,5,-5,5,5,5,12072.38907979615
2020-07-13,0,5,5,5,0,0,5,5,-5,-5,0,-4,0,5,-5,5,0,0,5,-5,0,-1,5,-5,0,0,5,0,-1,5,-5,5,5,0,5,0,-5,-5,5,5,-5,5,5,5,-41105.91057107039
2020-07-14,0,5,5,5,0,0,5,5,-5,-5,0,0,0,5,-5,5,0,0,5,0,0,0,5,-5,0,0,5,0,0,5,-5,5,5,0,5,0,-5,-1,5,5,-2,5,5,5,18658.76920240745
2020-07-15,0,5,5,5,0,0,5,5,-5,-1,0,0,0,5,-5,5,0,0,5,0,0,0,5,-5,0,0,5,0,0,5,-4,5,5,0,5,0,-5,0,5,5,0,5,5,5,36235.19535205141
2020-07-16,0,5,5,5,0,0,5,5,-3,0,0,0,0,5,-5,5,0,0,5,0,0,0,5,-5,0,0,5,0,0,5,0,5,5,0,5,0,-5,0,5,5,0,5,5,5,30669.401885397732
2020-07-17,0,5,5,5,0,0,5,5,0,0,0,0,0,5,-1,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,-4,0,5,5,0,5,5,5,25241.98015935719
2020-07-20,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,8305.090064775199
2020-07-21,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-32244.108741225675
2020-07-22,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,24218.8498076275
2020-07-23,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-30866.442482801154
2020-07-24,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,4626.3491597771645
2020-07-27,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,137892.83745811507
2020-07-28,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,4231.156126441434
2020-07-29,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,1280.2823088821024
2020-07-30,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-4045.8788862600923
2020-07-31,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-86727.93669708446
2020-08-03,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,85252.08674846776
2020-08-04,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,36710.974912300706
2020-08-05,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,29282.31484558247
2020-08-06,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,37947.91514556855
2020-08-07,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,8089.180326655507
2020-08-10,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-1664.0684684738517
2020-08-11,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-7428.229316709563
2020-08-12,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,6402.704575004056
2020-08-13,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-68027.67275600322
2020-08-14,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,100825.90402301587
2020-08-17,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,83603.3938816078
2020-08-18,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-5103.9094493463635
2020-08-19,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-38547.302478637546
2020-08-20,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,31956.82200160995
2020-08-21,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,46411.33123939484
2020-08-24,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-7991.983711319044
2020-08-25,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,57073.681398849934
2020-08-26,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-14382.198270149529
2020-08-27,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-4131.7673695757985
2020-08-28,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-291779.89365566336
2020-08-31,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,90129.37529090978
2020-09-01,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-9190.516619682312
2020-09-02,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,74836.61931480467
2020-09-03,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-84782.56152931415
2020-09-04,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-16773.472171971574
2020-09-08,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-16810.825380554423
2020-09-09,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,101982.26019599847
2020-09-10,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,39516.70656993799
2020-09-11,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,18246.2667297367
2020-09-14,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,32846.22359844111
2020-09-15,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,136378.90572181717
2020-09-16,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-11227.926819305867
2020-09-17,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,128794.6643481832
2020-09-18,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-353024.2866324615
2020-09-21,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-75948.49282970466
2020-09-22,0,5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,5,5,5,-30895.19255256653
2020-09-23,0,1,2,5,0,0,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,1,0,0,0,5,5,-350777.95981008187
2020-09-24,0,5,5,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,353890.76949950494
2020-09-25,0,5,5,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,207763.88104758412
2020-09-28,0,5,5,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2459.5228528678417
2020-09-29,0,5,5,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33975.95877620578
2020-09-30,0,5,5,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,159931.93367904797
2020-10-01,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24219.149194777012
2020-10-05,0,5,5,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,106226.49099765159
2020-10-06,0,5,5,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,122726.19306006469
2020-10-07,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,148946.89086143672
2020-10-08,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-18872.131952775642
2020-10-09,0,5,5,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37784.282216722146
2020-10-12,0,5,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-10880.869477609172
2020-10-13,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76873.69242923707
2020-10-14,0,5,5,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-253430.61109631322
2020-10-15,0,5,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84406.15312785469
2020-10-16,0,5,5,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-42910.456668442115
2020-10-19,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17265.67014385946
2020-10-20,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-26269.77989530191
2020-10-21,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-80977.81263739057
2020-10-22,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42478.36567612551
2020-10-23,0,5,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-266116.74576364085
2020-10-26,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,154751.11938297935
2020-10-27,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-117016.62111170217
2020-10-28,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-22655.697474051267
2020-10-29,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-116960.4558199551
2020-10-30,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-51405.499557310715
2020-11-02,0,5,5,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94147.24625369161
2020-11-03,0,5,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128118.09983113036
2020-11-04,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,241698.2417540215
2020-11-05,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80226.12424706295
2020-11-06,0,5,5,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71074.4884787742
2020-11-09,0,5,5,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55787.57146347128
2020-11-10,0,5,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,294448.95198794454
2020-11-11,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5329.861074188724
2020-11-12,0,5,5,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,145608.9836779479
2020-11-13,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,45420.22445470467
2020-11-17,0,5,5,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,110611.54153434746
2020-11-18,0,5,5,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-81791.66958619654
2020-11-19,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,314070.1267451085
2020-11-20,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,255054.27112848684
2020-11-23,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,134688.5181299057
2020-11-24,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-243324.69253042527
2020-11-25,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,123790.56872683764
2020-11-27,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,134335.78659544326
